identifier,identifier_isbn,abstract,note,title_initial_article,title,extent_physical,rights,language,publisher,object_in_context,thumbnail_url,item_type,date_text,date_single_start,name,name 2 1,name 2 2,name 2 3,name 2 4,name 2 5,name 2 6,name 2 7,name 2 8,name 2 9,name 2 10,name 2 11,name 2 12,name 2 13,name 2 14,subject_topic 1,subject_topic 2,form,internet_media_type,digital_origin,genre,project_title,record_source,repository
0116_000050_000211,,"A comprehensive review of national and state-by-state data on child poverty, health, child welfare, youth at risk, early childhood development, education, nutrition, and housing.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",The ,State of America's Children Yearbook 1996,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=126,http://diglib.lib.utk.edu/cdf/data/0116_000050_000211/0116_000050_000211_0001.jpg.t.jpg,text,1996,1996,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Jablonski, Donna | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000255,,This report reviews schools' efforts to delay pregnancy through family life and sexuality education and through development of youths' life options.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Preventing Adolescent Pregnancy: What Schools Can Do,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=171,http://diglib.lib.utk.edu/cdf/data/0116_000050_000255/0116_000050_000255_0001.jpg.t.jpg,text,1986,1986,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,Teenage pregnancy | http://id.loc.gov/authorities/subjects/sh85106286,Problem youth | http://id.loc.gov/authorities/subjects/sh92002391,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000201,,A guide to federal government food and nutrition programs for relatives raising young children.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",The ,Grandparent's and Other Relative Caregiver's Guide to Food and Nutrition Programs for Children,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=119,http://diglib.lib.utk.edu/cdf/data/0116_000050_000201/0116_000050_000201_0001.jpg.t.jpg,text,2002,2002,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Schulzinger, Rhoda | URI: http://id.loc.gov/authorities/names/n89669890 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,Children--Health and hygiene | http://id.loc.gov/authorities/subjects/sh85023425,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000321,,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,,"Great Preachers: Master, There's a Boy Here",27 minutes,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=224&vaz=1,http://diglib.lib.utk.edu/cdf/data/0116_000050_000321/0116_000050_000321_0001.jpg.t.jpg,moving image,1995,1995,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Wright, Harry S., Sr., Rev. Dr. | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,,video recordings | http://vocab.getty.edu/aat/300028682,video/H264,born digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000246,,A pamphlet published in conjunction with the 1983 initiative to prevent teen pregnancy and to alleviate the range of problems facing adolescent and female-headed households.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Preventing Children Having Children,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=162,http://diglib.lib.utk.edu/cdf/data/0116_000050_000246/0116_000050_000246_0001.jpg.t.jpg,text,1987,1987,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,Teenage pregnancy | http://id.loc.gov/authorities/subjects/sh85106286,Problem youth | http://id.loc.gov/authorities/subjects/sh92002391,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000322,,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,,Great Preachers: For the Children,23 minutes,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=225&vaz=1,http://diglib.lib.utk.edu/cdf/data/0116_000050_000322/0116_000050_000322_0001.jpg.t.jpg,moving image,1995,1995,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Adams, John Hurst | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,,video recordings | http://vocab.getty.edu/aat/300028682,video/H264,born digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000267,,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,A ,Children's Defense Budget: An Analysis of the FY 1987 Federal Budget and Children,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=182,http://diglib.lib.utk.edu/cdf/data/0116_000050_000267/0116_000050_000267_0001.jpg.t.jpg,text,1987,1987,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,,corporation reports | http://vocab.getty.edu/aat/300027275,image/jp2,reformatted digital,Corporation reports | http://id.loc.gov/authorities/subjects/sh85032921,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000284,,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,,Teens and AIDS: Opportunities for Prevention,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=199,http://diglib.lib.utk.edu/cdf/data/0116_000050_000284/0116_000050_000284_0001.jpg.t.jpg,text,1988,1988,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Johnson, Kay | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,Children--Health and hygiene | http://id.loc.gov/authorities/subjects/sh85023425,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000288,,An update of state-level Child Watch projects.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Child Watch Update Number 4,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=203,http://diglib.lib.utk.edu/cdf/data/0116_000050_000288/0116_000050_000288_0001.jpg.t.jpg,text,1983,1983,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Eizenstat, Fran | URI: http://id.loc.gov/authorities/names/n86859953 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Isler, Tawanna | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,Legal assistance to children | http://id.loc.gov/authorities/subjects/sh85075722,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
0116_000050_000309,,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,,Great Preachers: Instruments of Healing,46 minutes,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=212&vaz=1,http://diglib.lib.utk.edu/cdf/data/0116_000050_000309/0116_000050_000309_0001.jpg.t.jpg,moving image,1995,1995,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Forbes, James, Jr., Rev. Dr. | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,,video recordings | http://vocab.getty.edu/aat/300028682,video/H264,born digital,,Children,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections"
